idKorisnik,username,JMBG,ime,prezime,pol,datRodj,adresa,telefon,email,NASELJE_IDNASELJE
190,MilukaRujević,0803960295599,Miluka,Rujević,F,1960-03-08,CARA DUŠANA 12,+381 69 554 3248,MilukaRujević@gmail.com,740543
191,radovinkamo4091,2405933278802,Radovinka,Mocanović,F,1933-05-24,DUNAVSKA 5,+381 67 455 0114,,740543
192,AndreaKrcalović,0102937437855,Andrea,Krcalović,F,1937-02-01,CARA DUŠANA 2A,+381 69 237 1755,,740713
193,gligorijeru1678,0312942744119,Gligorije,Rubežanović,M,1942-12-03,MORAVSKA 3A,+381 68 725 1817,,740713
194,kovanakarun601,2308953537262,Kovana,Karuntanović,F,1953-08-23,BANETA JELIĆA 14,+381 67 012 3352,kovanakarun601@hotmail.com,740560
195,ŽikicaNakulović,0601941102411,Žikica,Nakulović,M,1941-01-06,NJEGOŠEVA 225,+381 69 863 1203,,802310
196,zorkazlopor7510,0412965175460,Zorka,Zloporubović,F,1965-12-04,MAKSIMA GORKOG 34,+381 66 121 0501,,802310
197,veroljubmil405,1904941811990,Veroljub,Milivojević,M,1941-04-19,BANATSKA 23,+381 67 321 6233,veroljubmil405@yahoo.com,802310
198,milijanvarz460,1501976254085,Milijan,Varzanović,M,1976-01-15,FISKULTURNA 7,+381 67 278 8180,milijanvarz460@yahoo.com,803081
199,vidojaružma3722,1308958931297,Vidoja,Ružmanović,M,1958-08-13,STRAHINJE STEFANOVIĆA 61,+381 68 584 6323,,803081
200,zvezdanamil3421,0310947668298,Zvezdana,Miletaković,F,1947-10-03,MARŠALA TITA 34,+381 68 435 8233,,801704
201,NegovanKunović,2407002731523,Negovan,Kunović,M,2002-07-24,ČARNOJEVIĆEVA 2,+381 65 423 8058,NegovanKunović@yandex.ru,801399
202,JakovVlajsović,1009960043279,Jakov,Vlajsović,M,1960-09-10,CARA DUŠANA 105,+381 68 634 4427,JakovVlajsović@yandex.ru,802158
203,TrojanMarović,0706984592107,Trojan,Marović,M,1984-06-07,STRELIŠTE 120,+381 66 846 5105,TrojanMarović@yahoo.com,802158
204,BojanaBailović,1912935476781,Bojana,Bailović,F,1935-12-19,IVE LOLE RIBARA 18,+381 60 275 3205,,802239
205,MiletaĐerković,2311947313449,Mileta,Đerković,M,1947-11-23,MIHAJ EMINESKU 139,+381 61 858 6802,,802298
206,mijailoremi3499,1208937922565,Mijailo,Remiković,M,1937-08-12,MIHALA BABINKU 12A,+381 69 427 6676,,802255
207,MiomirRakčević,1704936484716,Miomir,Rakčević,M,1936-04-17,JNA 81,+381 68 101 2242,,802557
208,purešstevan1437,1012959133456,Pureš,Stevančević,M,1959-12-10,SLAVKA RODIĆA 41,+381 60 466 8374,,802123
209,MonikaLajović,2401005619624,Monika,Lajović,F,2005-01-24,LENJINOVA 28,+381 61 717 5571,MonikaLajović@yahoo.com,802263
210,tomanijaslo1468,0506962907761,Tomanija,Slovaković,F,1962-06-05,JANKA ČMELIKA 15,+381 67 877 1565,tomanijaslo1468@gmail.com,802263
211,MileZelinčević,0509959284655,Mile,Zelinčević,M,1959-09-05,IVE LOLE RIBARA 5,+381 66 045 5586,MileZelinčević@yandex.ru,801429
212,DavorDrešević,2212936902155,Davor,Drešević,M,1936-12-22,SVETOZARA MARKOVIĆA 5,+381 61 535 1588,,801445
213,jelenabarja1189,1609936555316,Jelena,Barjaktarović,F,1936-09-16,ŽARKA ZRENJANINA 96,+381 62 474 5744,,801445
214,JakovPurović,1006930382030,Jakov,Purović,M,1930-06-10,PARTIZANSKA 70A,+381 64 753 5457,,802573
215,MilinkaKosović,3009001849461,Milinka,Kosović,F,2001-09-30,ŽARKA ZRENJANINA 25,+381 69 723 5366,MilinkaKosović@hotmail.com,801402
216,smiljanveli5440,2608930984542,Smiljan,Veličković,M,1930-08-26,TAMIŠKA 57,+381 61 314 7212,,803766
217,JovkaProlović,1812000538059,Jovka,Prolović,F,2000-12-18,DANKA MITROVA 9,+381 69 720 8467,JovkaProlović@mail.ru,801461
218,sunčicaniko9831,2404004215430,Sunčica,Nikolčević,F,2004-04-24,OLIMPIJSKA 62D,+381 67 342 5474,sunčicaniko9831@gmail.com,712353
219,blaženkrčma6385,2303988364252,Blažen,Krčmarević,M,1988-03-23,RAJ 34Đ,+381 60 262 5242,blaženkrčma6385@mail.ru,712353
220,DuškaNešević,2312933457221,Duška,Nešević,F,1933-12-23,RAJ 14,+381 67 407 2242,,712469
221,ŽarkoStijović,0905953070095,Žarko,Stijović,M,1953-05-09,VITOJEVAČKI IZVOR 21A,+381 63 650 2454,,712361
222,RadojkoAcović,2307970674194,Radojko,Acović,M,1970-07-23,KAMENOLOM 25,+381 66 613 4747,RadojkoAcović@yahoo.com,700207
223,petrušajeft4311,0712995068768,Petruša,Jeftimijević,F,1995-12-07,BOŠKA SAVIĆA 9,+381 64 887 1067,petrušajeft4311@yahoo.com,743178
224,IlijaČerević,0901947572031,Ilija,Čerević,M,1947-01-09,JUG BOGDANOVA  13,+381 60 110 4688,IlijaČerević@gmail.com,707040
225,magdalenata489,1209002675828,Magdalena,Tanjević,F,2002-09-12,SVETOG ARHANGELA MIHAILA 5,+381 66 730 7364,magdalenata489@hotmail.com,707392
226,radojkogara3098,2112958513179,Radojko,Garabinović,M,1958-12-21,TOME VUČIĆA 11A,+381 61 027 8752,,718980
227,gospanaandr6200,1805931726936,Gospana,Andrijević,F,1931-05-18,VOJVODE PETRA BOJOVIĆA 60,+381 68 000 5830,,718980
228,davorjankan3395,2705970265636,Davorjanka,Neimarević,F,1970-05-27,BILOGORSKA 7,+381 61 174 1514,davorjankan3395@mail.ru,718980
229,LilaRubežanović,0204003175082,Lila,Rubežanović,F,2003-04-02,MILIVOJA BANKOVIĆA SIĆKA 115,+381 62 835 6236,LilaRubežanović@hotmail.com,718599
230,MiljanaMerdović,2206995946210,Miljana,Merdović,F,1995-06-22,BRANISLAVA NUŠIĆA 22A,+381 67 784 0487,MiljanaMerdović@mail.ru,718980
231,radovankaću3290,2202994379184,Radovanka,Ćuzović,F,1994-02-22,STOJANA PROTIĆA 7B,+381 66 685 3117,radovankaću3290@mail.ru,718980
232,viktorijami3170,2609957945519,Viktorija,Miladinović,F,1957-09-26,DIMITRIJA DAVIDOVIĆA 18,+381 60 183 8000,,718980
233,marinkakaza1402,3008959099963,Marinka,Kazanović,F,1959-08-30,BOGOLJUBA ĐORĐEVIĆA 49,+381 67 225 4288,,718980
234,DuškoMacanović,1502950730642,Duško,Macanović,M,1950-02-15,MIHAJLA PUPINA 8A,+381 61 047 7807,,740624
235,vitomirkama7498,1410988847617,Vitomirka,Macogović,F,1988-10-14,ŽIVKA JANKOVIĆA 44,+381 62 606 7038,vitomirkama7498@yandex.ru,718939
236,ŠumenkoBešević,2701978443400,Šumenko,Bešević,M,1978-01-27,NARODNA 21A,+381 61 221 1443,ŠumenkoBešević@mail.ru,718793
237,zlatkobolja1705,2701945173852,Zlatko,Boljanović,M,1945-01-27,KORMANSKA 28,+381 67 683 0568,,718963
238,KrstoZuković,0201994660124,Krsto,Zuković,M,1994-01-02,NARODNOG FRONTA 20,+381 68 374 6045,KrstoZuković@gmail.com,740721
239,BožoKutlarević,1305954540999,Božo,Kutlarević,M,1954-05-13,KAJMAKČALANSKA 39,+381 64 747 2347,,740721
240,VelikaMuačević,2904006396366,Velika,Muačević,F,2006-04-29,DESPOTA STEFANA VISOKOG 73,+381 65 717 1485,VelikaMuačević@yandex.ru,736694
241,vekoslavrad1133,1802932290056,Vekoslav,Raduljević,M,1932-02-18,DESPOTA STEFANA VISOKOG 215B,+381 69 441 3561,,736694
242,miljurkobro8610,0304992010790,Miljurko,Broćović,M,1992-04-03,DIMITRIJA ANASTASIJEVIĆA 31A,+381 64 065 2065,miljurkobro8610@yandex.ru,740721
243,krstimirđer543,1112996281540,Krstimir,Đerković,M,1996-12-11,MARKA T. LEKA 7,+381 62 242 2580,,740721
244,AnđelaJošović,2712956177704,Anđela,Jošović,F,1956-12-27,KARAĐORĐEVA 2,+381 65 713 1267,,740608
245,lozankrajšu9258,0111969622158,Lozan,Krajšumović,M,1969-11-01,CETINJSKA 2,+381 60 430 2577,lozankrajšu9258@gmail.com,740527
246,MilaRikanović,1512956909450,Mila,Rikanović,F,1956-12-15,PETRIJEVSKI POTOK 20,+381 61 618 8314,MilaRikanović@hotmail.com,740527
247,MajaČukalović,1912984217297,Maja,Čukalović,F,1984-12-19,27.MARTA 64,+381 64 531 7188,MajaČukalović@yandex.ru,740527
248,konstantinš2564,0409948192613,Konstantin,Šukalović,M,1948-09-04,IGMANSKA 8,+381 62 473 5107,,740527
249,kosapetroni2261,2506937317285,Kosa,Petronijević,F,1937-06-25,BRANKA RADIČEVIĆA 20,+381 60 121 5232,,740306
250,MilukaDiković,2602958596958,Miluka,Diković,F,1958-02-26,KARAĐORĐEVA 1,+381 67 146 6318,,740306
251,tomislavcer2616,1601002874104,Tomislav,Cerovanović,M,2002-01-16,BRAĆE JERKOVIĆ 6,+381 64 146 2333,tomislavcer2616@yandex.ru,740527
252,dobricatodo4070,2105962465618,Dobrica,Todosijević,F,1962-05-21,SMEDEREVSKA 102,+381 69 731 4205,,740420
253,sinđelijabu5837,2504006986201,Sinđelija,Bukorović,F,2006-04-25,BRANKA RADIČEVIĆA 13,+381 69 421 2412,sinđelijabu5837@yahoo.com,802352
254,marinadolij6778,1108989969735,Marina,Dolijanović,F,1989-08-11,CVETNA 16,+381 67 051 1013,marinadolij6778@yandex.ru,802352
255,nikoletapas2582,2408004659061,Nikoleta,Paskulović,F,2004-08-24,KLEK 2,+381 68 055 7365,nikoletapas2582@mail.ru,802352
256,DevaPutanović,1503929465764,Deva,Putanović,F,1929-03-15,SOLUNSKA 92,+381 67 164 2626,,702927
257,TiosavaOrabović,0808980807364,Tiosava,Orabović,F,1980-08-08,MARŠALA TITA 67A,+381 61 847 4384,TiosavaOrabović@hotmail.com,740373
258,gvozdenijađ2848,0906983629710,Gvozdenija,Đurčinović,F,1983-06-09,PROLETERSKA 18,+381 63 046 2482,gvozdenijađ2848@yandex.ru,740373
259,NedaDanojević,0201943857532,Neda,Danojević,F,1943-01-02,KREČANSKA 147,+381 68 421 3073,NedaDanojević@hotmail.com,802352
260,MićkoJaćević,2901940250486,Mićko,Jaćević,M,1940-01-29,KRALJA ALEKSANDRA 46,+381 64 876 3855,,740489
261,DrenkaPreković,1202957377835,Drenka,Preković,F,1957-02-12,MILOŠA MILOŠEVIĆA 29,+381 66 625 5065,,740489
262,cvjetkojord9435,2905978852869,Cvjetko,Jordanović,M,1978-05-29,BOŽE RADIĆA 20,+381 63 162 2635,cvjetkojord9435@mail.ru,709409
263,budimkađesp4627,3004981295462,Budimka,Đespanović,F,1981-04-30,KARAĐORĐEVA 101,+381 68 003 3654,budimkađesp4627@gmail.com,732958
264,CmiljanaKunović,1809004608595,Cmiljana,Kunović,F,2004-09-18,4.JULA 32,+381 69 215 6254,CmiljanaKunović@hotmail.com,802328
265,MatoVračević,2504985082569,Mato,Vračević,M,1985-04-25,KARAĐORĐEVA 42,+381 62 674 0752,MatoVračević@yandex.ru,732958
266,JanjaVatazević,2803946676811,Janja,Vatazević,F,1946-03-28,VINOGRADARSKA 23V,+381 60 052 6338,,700100
267,vidakkaraku8663,1308938262575,Vidak,Karakušević,M,1938-08-13,SVETE TROJICE 78,+381 67 833 4072,,700118
268,perišamajda5432,0112971864507,Periša,Majdančević,M,1971-12-01,DONJA OMAŠNICA 120,+381 62 644 6828,perišamajda5432@yandex.ru,742783
269,CakanIspirović,1305941041841,Cakan,Ispirović,M,1941-05-13,RAVNJAČKA 10,+381 61 654 7604,,700347
270,krstastevul9297,2402980503502,Krsta,Stevuljević,M,1980-02-24,VUKA KARADŽIĆA 55,+381 64 624 2241,krstastevul9297@hotmail.com,720836
271,vujčetatula9510,2810001220755,Vujčeta,Tularčević,M,2001-10-28,ŽUPSKA 15,+381 66 282 7020,vujčetatula9510@hotmail.com,700134
272,TiosavMraović,1402940084007,Tiosav,Mraović,M,1940-02-14,RADNIČKA 13,+381 61 011 4543,,721174
273,blagicautje6281,2611941645956,Blagica,Utješenović,F,1941-11-26,ČUČALE 92,+381 64 826 5377,,705608
274,LozanaLjubović,0310999286448,Lozana,Ljubović,F,1999-10-03,RASTKA PETROVIĆA 29,+381 60 620 8285,LozanaLjubović@mail.ru,721662
275,budisavduma5229,2812978643751,Budisav,Dumančević,M,1978-12-28,ČUČALE 20,+381 63 045 2376,budisavduma5229@hotmail.com,705608
276,JordankaRogović,0209973076179,Jordanka,Rogović,F,1973-09-02,BRDSKA 169,+381 65 363 5316,JordankaRogović@mail.ru,720828
277,jelkadragol2170,1807965707547,Jelka,Dragoljubović,F,1965-07-18,TRG ŽRTAVA FAŠISTIČKOG TERORA 60,+381 66 688 6357,jelkadragol2170@yahoo.com,720984
278,bisenijavit5726,1012961965222,Bisenija,Vitošević,F,1961-12-10,ČUNGULA 125,+381 69 222 4781,bisenijavit5726@gmail.com,705594
279,VukanaSenković,0403945188970,Vukana,Senković,F,1945-03-04,VOJISLAVA ILIĆA 2,+381 66 077 0854,,721387
280,LepojeSićović,1612003882246,Lepoje,Sićović,M,2003-12-16,4.JULA 24,+381 60 183 7545,LepojeSićović@gmail.com,721506
281,andreamilje3299,2605978129783,Andrea,Miljenović,F,1978-05-26,CARA LAZARA 388,+381 62 134 6402,andreamilje3299@gmail.com,721131
282,JelenkaGrujević,1602003256176,Jelenka,Grujević,F,2003-02-16,CERNIČKA 4,+381 60 358 6420,JelenkaGrujević@hotmail.com,709115
283,CakaGladović,1507969392962,Caka,Gladović,M,1969-07-15,MOŠE PIJADE 15,+381 67 557 5137,,709417
284,pelagijaars4828,2401990135524,Pelagija,Arsenijević,F,1990-01-24,RADOMIRA PETROVIĆA 12,+381 61 847 4141,pelagijaars4828@mail.ru,709417
285,KovanaCacanović,1710980318041,Kovana,Cacanović,F,1980-10-17,RADOMIRA PETROVIĆA 5,+381 60 174 7357,KovanaCacanović@yandex.ru,709417
286,mirosavakoš4487,1309925759675,Mirosava,Košutović,F,1925-09-13,HAJDUK STANKA 4,+381 61 702 4428,,709425
287,KostaKidišević,1203956954588,Kosta,Kidišević,M,1956-03-12,LOLE RIBARA 37,+381 69 538 3366,KostaKidišević@hotmail.com,709409
288,miljenvladu1192,2407005714432,Miljen,Vladuljević,M,2005-07-24,BORAČKA 11,+381 66 316 3148,miljenvladu1192@yandex.ru,709425
289,MilankoDimčević,0104954893456,Milanko,Dimčević,M,1954-04-01,MILOŠA CRNJANSKOG 76,+381 62 305 1140,MilankoDimčević@gmail.com,802417
290,DamirPavletović,0601972020989,Damir,Pavletović,M,1972-01-06,BREŽANSKA 18,+381 69 166 5331,DamirPavletović@hotmail.com,733083
291,krunislavka8084,2303992085921,Krunislavka,Soldatović,F,1992-03-23,DUNAVSKA 81,+381 69 835 2083,krunislavka8084@yandex.ru,733083
292,savatijepav6869,1501966052989,Savatije,Pavićević,M,1966-01-15,RESAVSKA 33,+381 66 411 5202,,733024
293,IlijaLukešević,1805975414287,Ilija,Lukešević,M,1975-05-18,VUKA KARADŽIĆA 15B,+381 60 285 4872,,733083
294,IvonaDanbuović,2311928076313,Ivona,Danbuović,F,1928-11-23,JADRANSKA 19,+381 64 236 0571,,733083
295,StakaBurzanović,2709958465072,Staka,Burzanović,F,1958-09-27,TRŠĆANSKA 3A,+381 68 784 7470,StakaBurzanović@yahoo.com,733083
296,milevkamari6586,0506973327072,Milevka,Marinković,F,1973-06-05,PARTIZANSKA 12,+381 62 077 2832,milevkamari6586@gmail.com,733148
297,spiracerova3850,2303001640135,Spira,Cerovanović,M,2001-03-23,VUKA KARADŽIĆA 14A,+381 63 585 6788,spiracerova3850@gmail.com,733148
298,JanaSimanović,0906935007264,Jana,Simanović,F,1935-06-09,TOPLICE MILANA 18,+381 63 527 1242,,738263
299,MiljenKazanović,0910948814629,Miljen,Kazanović,M,1948-10-09,OMLADINSKIH BRIGADA 20,+381 64 571 4104,,738352
300,simeonkarađ1264,2601973054565,Simeon,Karađorđević,M,1973-01-26,DIMITRIJA TUCOVIĆA 80,+381 64 585 4676,,738352
301,božidarkapr874,0804976138887,Božidarka,Prahovljanović,F,1976-04-08,KNEZA LAZARA 95,+381 67 050 2413,božidarkapr874@yahoo.com,738352
302,vaskrsijako2940,0306945436905,Vaskrsija,Kolaković,F,1945-06-03,SVETOG SAVE 26,+381 65 787 0280,,738115
303,sekulejanaš6597,0409966104476,Sekule,Janašković,M,1966-09-04,CRNOGORSKA 2,+381 64 365 5720,sekulejanaš6597@gmail.com,738336
304,miladinkakr191,2610961657340,Miladinka,Krainović,F,1961-10-26,VOJVODE MIŠIĆA 3,+381 65 851 6257,,738697
305,damnjankomn3342,3105981704306,Damnjan,Komnenović,M,1981-05-31,VOJVODE STEPE 65,+381 62 010 4604,damnjankomn3342@gmail.com,714852
306,spomenkacig6327,2103961166918,Spomenka,Ciganović,F,1961-03-21,BOŽE DIMITRIJEVIĆA 14,+381 64 408 0831,spomenkacig6327@gmail.com,733032
307,komnenijaja7117,0311937868046,Komnenija,Jakovović,F,1937-11-03,CARA LAZARA 74,+381 66 580 1566,,732940
308,đurisavabje8000,0210933405387,Đurisava,Bjelojević,F,1933-10-02,MLAVSKA 22,+381 68 128 5304,,727199
309,milojicamil6844,1504938141594,Milojica,Miljenović,M,1938-04-15,KAJTASOVSKA 56,+381 63 228 4802,,800821
310,DraganMarinović,1611985443836,Dragan,Marinović,M,1985-11-16,MARŠALA TITA 42,+381 60 362 7647,DraganMarinović@mail.ru,801275
311,JunošaSupurović,0706951253512,Junoša,Supurović,M,1951-06-07,PRVOMAJSKA 25,+381 64 084 1137,,800112
312,anđelijaklo7238,0905929666245,Anđelija,Klopanović,F,1929-05-09,SLOVAČKA 4A,+381 68 112 4340,,803464
313,milentijest2781,1504980892422,Milentije,Stanović,M,1980-04-15,POLJSKI PUT 17,+381 64 404 8850,milentijest2781@yandex.ru,800074
314,damljankago4376,0507990169463,Damljanka,Gostović,F,1990-07-05,VOJVODE MIŠIĆA 36,+381 62 113 1573,damljankago4376@mail.ru,800074
315,blaženkavan3520,0802983475476,Blaženka,Vančetović,F,1983-02-08,VUKA KARADŽIĆA 51A,+381 63 422 4065,blaženkavan3520@gmail.com,803448
316,SokaKočević,1009967306377,Soka,Kočević,F,1967-09-10,OSLOBOĐENJA 51A,+381 68 468 3447,SokaKočević@yandex.ru,801135
317,RusmirBeoković,2907950682029,Rusmir,Beoković,M,1950-07-29,HAJDUK VELJKA 43,+381 61 347 8787,,801089
318,ZagaFržović,2806930148085,Zaga,Fržović,F,1930-06-28,2.OKTOBAR 20,+381 65 248 2343,,801089
319,LanaPunošević,1501994989910,Lana,Punošević,F,1994-01-15,KUŠTILJSKA 7,+381 69 307 7272,LanaPunošević@hotmail.com,801089
320,dubravacgru1075,1905987013532,Dubravac,Grubović,M,1987-05-19,NORČA 55,+381 62 863 1672,dubravacgru1075@yandex.ru,733814
321,ReljaBestudović,0201003100234,Relja,Bestudović,M,2003-01-02,ABDULA KRAŠNICA 69,+381 65 765 1436,ReljaBestudović@hotmail.com,733857
322,NestorRepanović,2001005302100,Nestor,Repanović,M,2005-01-20,PETRA DRAPŠINA 12,+381 65 321 1370,NestorRepanović@mail.ru,707694
323,jagodagruja4514,1906962035973,Jagoda,Grujanović,F,1962-06-19,BRAĆE JUGOVIĆA 8,+381 64 814 0702,,707694
324,IrenaKončarević,0611989028757,Irena,Končarević,F,1989-11-06,RAKOVAC 179,+381 60 287 4521,IrenaKončarević@yahoo.com,708127
325,DevaLeštarević,2710961487087,Deva,Leštarević,F,1961-10-27,NOVO SELO 47,+381 65 775 2750,DevaLeštarević@yandex.ru,707759
326,sanelarafai2122,1710941006374,Sanela,Rafailović,F,1941-10-17,IVE ANDRIĆA 40,+381 65 308 6420,,711306
327,ČarnaGurović,1010936518126,Čarna,Gurović,F,1936-10-10,PILOTA MILENKA PAVLOVIĆA 3V,+381 61 666 2011,,711306
328,LujoMužijević,2903948043192,Lujo,Mužijević,M,1948-03-29,JOVANA HADŽI VASILJEVIĆA 48,+381 69 077 7480,LujoMužijević@yandex.ru,711306
329,grubišatimo6016,1403981210841,Grubiša,Timotijević,M,1981-03-14,DŽEMALA BIJEDIĆA 10,+381 64 338 1742,grubišatimo6016@yandex.ru,711306
330,živoljubčan9388,0203948083844,Živoljub,Čanadanović,M,1948-03-02,TRG NEMANJIĆA 14,+381 64 657 0677,,711306
331,LjuboJorgović,1703982512986,Ljubo,Jorgović,M,1982-03-17,TANASKA RAJIĆA 10A,+381 62 623 4822,LjuboJorgović@mail.ru,711306
332,IsmailJovković,0909927544672,Ismail,Jovković,M,1927-09-09,DEVET JUGOVIĆA 47B,+381 62 804 3818,,711306
333,magdalenajo8913,1008988548147,Magdalena,Jošilović,F,1988-08-10,ĐORĐA LOPAČIĆA 61,+381 64 675 2480,magdalenajo8913@yandex.ru,711306
334,savetaandre253,0409974915195,Saveta,Andrekulović,F,1974-09-04,FRANŠE DEPEREA 22A,+381 66 133 1514,savetaandre253@yahoo.com,711306
335,ljepavapetr1092,0712964229965,Ljepava,Petrićević,F,1964-12-07,ZERDINCI 3,+381 63 518 6363,ljepavapetr1092@hotmail.com,742317
336,NikolaPauković,2611930211606,Nikola,Pauković,M,1930-11-26,KALOVCI 4,+381 63 736 0815,,706876
337,budimirstoj9485,2111941832549,Budimir,Stojković,M,1941-11-21,ČURĆIJSKA MAHALA 14,+381 60 751 1816,,706965
338,julkadolboč2365,1402946139621,Julka,Dolbočanović,F,1946-02-14,LALOŠ 28,+381 65 333 3113,,706914
339,KovanaBailović,0110947506135,Kovana,Bailović,F,1947-10-01,ČURČINCI 6A,+381 67 712 2476,,706914
340,radivojejer5391,1610939162316,Radivoje,Jerilović,M,1939-10-16,MARŠALA TITA 122,+381 68 272 6480,,706604
341,RačetaStošković,1908952312031,Račeta,Stošković,M,1952-08-19,KRSTANOVA MAHALA 11,+381 64 863 1846,,706922
342,PerunMilinović,0209978422358,Perun,Milinović,M,1978-09-02,ZASELAK CALIĆI 1,+381 68 153 0851,PerunMilinović@mail.ru,722634
343,milinkagabu3727,2007945739818,Milinka,Gaburović,F,1945-07-20,HAJDUČKA 26,+381 62 116 8377,,722456
344,stojankavak8954,2207931925036,Stojanka,Vakulović,F,1931-07-22,NAUPARSKA 267,+381 69 688 1304,,721328
345,GrozdaRošković,2703984085797,Grozda,Rošković,F,1984-03-27,MIČETOVA 18,+381 67 301 8147,GrozdaRošković@yahoo.com,720704
346,SašaPaskulović,0801943414176,Saša,Paskulović,M,1943-01-08,JASTREBAČKI PUT 575,+381 61 747 7222,,720674
347,živoljubmar8556,2504949651202,Živoljub,Marčićević,M,1949-04-25,LAZAREVAC 19,+381 60 432 2416,,705420
348,nedeljkabor9456,1502982925013,Nedeljka,Borjanović,F,1982-02-15,MALA DRAGUŠA 49,+381 60 533 0587,nedeljkabor9456@mail.ru,705438
349,premilradon6400,1301926702470,Premil,Radonoćević,M,1926-01-13,VOJVODE MIŠIĆA 27,+381 66 680 8364,,720925
350,SrđaZiriković,0406930473230,Srđa,Ziriković,M,1930-06-04,DUŠANA VASILJEVA 2,+381 66 567 1074,,721107
351,ljubisavkas8881,0406936799288,Ljubisavka,Spasković,F,1936-06-04,KRALJA MILUTINA 131,+381 60 058 1066,,721107
352,đurđinasret3,1303925279736,Đurđina,Sretenović,F,1925-03-13,CARA LAZARA 170A,+381 67 664 3211,,721107
353,mikailoćorl7261,1012984724253,Mikailo,Ćorlomanović,M,1984-12-10,GAZIMESTANSKA 42A,+381 68 455 5515,mikailoćorl7261@yahoo.com,721107
354,ljubodragba4159,1808936684172,Ljubodrag,Bačković,M,1936-08-18,VESELINA NIKOLIĆA 29,+381 69 417 5480,,721107
355,SlavkaRašević,2906948498284,Slavka,Rašević,F,1948-06-29,GOLUBAČKA 8,+381 61 443 4671,,721263
356,JadrankaŽujović,2107974967862,Jadranka,Žujović,F,1974-07-21,LOMINA 7Ž,+381 63 455 3478,JadrankaŽujović@yandex.ru,721107
357,zlaticajoka8593,2910960429646,Zlatica,Jokanović,F,1960-10-29,MIRKA TOMIĆA 71,+381 65 221 1311,zlaticajoka8593@gmail.com,709271
358,NenadSazdanović,0907001852660,Nenad,Sazdanović,M,2001-07-09,MARŠALA TITA 213,+381 68 314 7045,NenadSazdanović@mail.ru,709158
359,miroslavkap1199,0503925965430,Miroslavka,Puljecović,F,1925-03-05,MIRKA TOMIĆA 73,+381 60 007 2482,,709158
360,GoranTanević,0111952862165,Goran,Tanević,M,1952-11-01,NIKOLE TESLE 14A,+381 61 601 7861,,731404
361,IvkaDrašović,2511989429284,Ivka,Drašović,F,1989-11-25,JEVTIMIJA ANĐELKOVIĆA 183,+381 64 215 1532,IvkaDrašović@yahoo.com,720887
362,StoićKeserović,1804941584031,Stoić,Keserović,M,1941-04-18,JOVE KURSULE 16A,+381 60 585 0552,,744328
363,radicaskrob6313,0505964349665,Radica,Skrobanović,F,1964-05-05,KRALJA MILANA 50,+381 67 838 3111,radicaskrob6313@hotmail.com,727539
364,jevrosimago3447,1310926497729,Jevrosima,Gojković,F,1926-10-13,ZASELAK VUČELIĆI 2,+381 63 835 2105,,705870
365,zvezdanmari4122,2001983130438,Zvezdan,Marinović,M,1983-01-20,KNEZA PAVLA 19,+381 68 204 4845,,727687
366,vidojkađera4971,1902987389603,Vidojka,Đerasović,F,1987-02-19,NIKOLE TESLE 31,+381 61 060 0147,vidojkađera4971@gmail.com,727652
367,sekulavaduv93,2508946550371,Sekula,Vaduvesković,M,1946-08-25,SKENDERBEGOVA 32,+381 65 651 0318,,727652
368,FemkaManević,0407993457806,Femka,Manević,F,1993-07-04,VLASE 36,+381 69 284 0402,FemkaManević@yahoo.com,727377
369,ĐoraPetković,1402977930110,Đora,Petković,M,1977-02-14,BUBLICA 225,+381 67 170 7823,ĐoraPetković@mail.ru,735426
370,SlavoSrbinović,0510999083033,Slavo,Srbinović,M,1999-10-05,DEVET JUGOVIĆA 60,+381 67 024 5150,SlavoSrbinović@yandex.ru,723223
371,miloljubpal3996,1511979653887,Miloljub,Palamarević,M,1979-11-15,KNEZA LAZARA 6,+381 61 202 7835,miloljubpal3996@yandex.ru,715204
372,SretenSmolović,2508939170382,Sreten,Smolović,M,1939-08-25,HILANDARSKA 57,+381 64 073 1711,SretenSmolović@yahoo.com,736210
373,NađaSavadinović,1710945887824,Nađa,Savadinović,F,1945-10-17,MILANA RAKIĆA 1A,+381 63 673 6136,,720640
374,DušankaŽujović,2609944428139,Dušanka,Žujović,F,1944-09-26,KNEZA LAZARA 108A,+381 63 740 6571,,720852
375,nikolabosil6018,2703957662438,Nikola,Bosiljković,M,1957-03-27,MARIJE BURSAĆ 12,+381 65 222 2011,nikolabosil6018@gmail.com,736210
376,RackoČučilović,0610959831911,Racko,Čučilović,M,1959-10-06,VOJVODE PETRA BOJOVIĆA 13,+381 68 448 0216,,736210
377,tankosavabr7443,1411999555421,Tankosava,Brašnović,F,1999-11-14,LIČKA 15,+381 62 148 8505,tankosavabr7443@yandex.ru,736210
378,vidojkogema2905,2009965761413,Vidojko,Gemaljević,M,1965-09-20,PETROVAC 97,+381 62 424 0430,,736147
379,vlaisavvite2129,0912958093915,Vlaisav,Vitezović,M,1958-12-09,NIKOLE TESLE 26A,+381 66 681 0834,vlaisavvite2129@yandex.ru,701246
380,VuksanMilatović,0410932902489,Vuksan,Milatović,M,1932-10-04,GROFA RAJEVSKOG 21,+381 68 337 3722,,720933
381,ivanišraosa3316,2303992540871,Ivaniš,Raosavljević,M,1992-03-23,TOPLIČKA 10,+381 63 306 1382,ivanišraosa3316@yahoo.com,736554
